Estatus,Area,edad_meses,antiguedad del caso,MUNICPIO_C_I,GENERO,Abogado
situacion juridica resuelta,lactantes,4.46817248459959,3.268993839835729,chimalhuacan,M,rene
situacion juridica resuelta,lactantes,4.303901437371663,3.011635865845312,tlanepantla de baz,M,rene
situacion juridica resuelta,lactantes,0.4271047227926078,2.047912388774812,chalco solidaridad,H,rene
situacion juridica resuelta,lactantes,0.7885010266940452,2.8145106091718,toluca,H,rene
situacion juridica resuelta,lactantes,0.9527720739219713,1.319644079397673,tultitlan,H,rene
situacion juridica resuelta,lactantes,39.68788501026694,4.695414099931554,valle de bravo,M,rene
reintegracion,lactantes,0.8213552361396304,1.552361396303901,tecamac,M,rene
reintegracion,lactantes,20.79671457905544,0.1670088980150582,donato guerra,H,rene
adopcion,lactantes,0.5913757700205339,1.075975359342916,ecatepec de morelos,M,rene
adopcion,lactantes,4.073921971252567,2.431211498973306,ixtapaluca,M,rene
adopcion,lactantes,17.08418891170431,0.5585215605749486,toluca,M,rene
adopcion,lactantes,0.1971252566735113,1.486652977412731,atizapan de zaragosa,H,rene
en juicio,lactantes,0.8213552361396304,2.130047912388775,naucalpan de juarez,H,rene
en juicio,lactantes,1.347022587268994,2.978781656399726,tultitlan,M,rene
en juicio,lactantes,5.519507186858316,0.6680355920602327,toluca,M,rene
en juicio,lactantes,2.694045174537988,0.9034907597535934,toluca,H,rene
en juicio,lactantes,16.19712525667351,0.5749486652977412,ecatepec de morelos,M,rene
sin resolver,lactantes,0.3285420944558521,1.834360027378508,ecatepec de morelos,H,rene
sin resolver,lactantes,1.412731006160164,1.352498288843258,naucalpan de juarez,H,rene
sin resolver,lactantes,0.06570841889117043,0.971937029431896,chalco solidaridad,M,rene
sin resolver,lactantes,0.5913757700205339,0.9582477754962354,atlacomulco,M,rene
sin resolver,lactantes,17.64271047227926,0.7638603696098563,chalco solidaridad,H,rene
sin resolver,lactantes,18.6611909650924,0.7008898015058179,xonacatlan,H,rene
sin resolver,lactantes,0.2628336755646817,0.5859000684462696,toluca,H,rene
sin resolver,lactantes,0.1642710472279261,0.5174537987679672,tultitlan,H,rene
sin resolver,lactantes,0.2628336755646817,0.4955509924709103,tultitlan,H,rene
sin resolver,lactantes,0.459958932238193,0.405201916495551,toluca,M,rene
sin resolver,lactantes,1.806981519507187,0.3011635865845311,toluca,H,rene
sin resolver,lactantes,2.759753593429158,0.2847364818617386,nezahualcoyotl,H,rene
sin resolver,lactantes,0.03285420944558522,0.2655715263518138,toluca,M,rene
sin resolver,lactantes,1.57700205338809,0.2819986310746064,cuautitlan izcalli,M,rene
situacion juridica resuelta,maternal,55.22792607802874,0.4490075290896646,ecatepec de morelos,H,rene
situacion juridica resuelta,maternal,54.04517453798768,0.4161533196440794,toluca,H,rene
situacion juridica resuelta,maternal,14.58726899383984,3.337440109514032,nezahualcoyotl,M,rene
situacion juridica resuelta,maternal,5.585215605749486,3.200547570157426,toluca,M,rene
situacion juridica resuelta,maternal,0.9199178644763859,4.635181382614648,toluca,H,rene
adopcion,maternal,13.43737166324435,3.159479808350445,chalco solidaridad,M,rene
en juicio,maternal,7.457905544147843,3.049965776865161,toluca,M,rene
